Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2009/5/15,1478.55,1486.09,1471.18,1484.67,492000000,3851000000,10.63,1477.49,0.0049,0.0347,3.75,63.8,1270.31,24.43,0.0257,0.0029
2009/5/18,1490.41,1494.16,1472.93,1494.16,424000000,3153000000,10.59,1484.67,0.0064,0.0299,3.76,63.88,1278.98,24.6,0.0199,0.0029
2009/5/19,1504.66,1507.94,1491.07,1504.62,631000000,5073000000,10.66,1494.16,0.007,0.0444,3.79,64.48,1290.91,24.83,0.0253,0.0028
2009/5/20,1502.3,1502.45,1482.28,1482.28,501000000,4179000000,10.53,1504.62,-0.0148,0.0351,3.74,63.7,1276.32,24.54,0.0219,0.0028
2009/5/21,1476.28,1483.7,1445.29,1450.45,506000000,4095000000,10.33,1482.28,-0.0215,0.0354,3.66,62.33,1248.91,24.02,0.0223,0.0029
2009/5/22,1446.87,1458.31,1437.04,1447.25,352000000,2907000000,10.32,1450.45,-0.0022,0.0246,3.65,62.2,1246.16,23.96,0.0217,0.0029
2009/5/25,1416.95,1441.17,1405.56,1440.91,375000000,2968000000,10.27,1447.25,-0.0044,0.0263,3.64,61.92,1240.7,23.86,0.0186,0.0027
2009/5/26,1441.32,1464.38,1440.09,1451.5,383000000,3306000000,10.39,1440.91,0.0073,0.0268,3.66,62.38,1249.82,24.04,0.0195,0.0027
2009/5/27,1459.09,1463.98,1441.83,1450.73,341000000,2971000000,10.4,1451.5,-0.0005,0.0238,3.61,61.99,1248.96,24.02,0.0216,0.0029
2009/6/1,1461.3,1478.6,1457.83,1478.6,407000000,3515000000,10.12,1450.73,0.0192,0.0291,3.68,63.13,1229.43,25.61,0.019,0.0028
2009/6/2,1483.17,1514.59,1481.39,1497.77,567000000,5150000000,10.07,1478.6,0.013,0.0405,3.73,63.95,1245.37,25.95,0.0259,0.0028
2009/6/3,1497.41,1500.46,1486.31,1500.46,456000000,3922000000,9.94,1497.77,0.0018,0.0321,3.74,64.04,1247.19,25.98,0.019,0.003
2009/6/4,1497.44,1497.44,1463.95,1481.87,457000000,3807000000,9.85,1500.46,-0.0124,0.0322,3.69,63.25,1231.73,25.66,0.0169,0.003
2009/6/5,1487.36,1521.26,1486.33,1504.81,565000000,5078000000,9.93,1481.87,0.0155,0.0398,3.75,64.23,1250.8,26.06,0.0249,0.003
2009/6/8,1506.82,1510.56,1486.48,1496.29,471000000,4144000000,9.68,1504.81,-0.0057,0.0324,3.72,63.15,1261.56,26.28,0.0232,0.003
2009/6/9,1493.52,1497.35,1460.39,1490.65,389000000,3150000000,9.66,1496.29,-0.0038,0.0263,3.75,63.79,1275.42,26.57,0.0178,0.003
2009/6/10,1492.69,1514.69,1492.69,1514.69,545000000,4096000000,9.79,1490.65,0.0161,0.0369,3.81,64.82,1295.99,27,0.0218,0.0029
2009/6/11,1512.79,1525.92,1501.8,1507.67,540000000,4377000000,9.78,1514.69,-0.0046,0.0365,3.79,64.52,1289.98,26.87,0.0247,0.0029
2009/6/12,1507.4,1507.4,1454.33,1463.2,435000000,3411000000,9.51,1507.67,-0.0295,0.0294,3.72,62.39,1247.48,25.99,0.0206,0.0065
2009/6/15,1461.77,1486.71,1460.26,1486.71,322000000,2529000000,9.67,1463.2,0.0161,0.0218,3.78,63.39,1267.53,26.41,0.0182,0.0052
2009/6/16,1473.8,1483.24,1469.08,1477.03,319000000,2725000000,9.61,1486.71,-0.0065,0.0215,3.75,62.98,1259.28,26.23,0.0191,0.0052
2009/6/17,1477.74,1500.18,1472.95,1499.32,415000000,3403000000,9.75,1477.03,0.0151,0.028,3.81,63.93,1278.28,26.63,0.021,0.0051
